lpg household;lpg household name;number of residents;householdtype;senior status;senior status float;working status;non-working status;gender;female status;male status
CHR15_Multigenerational_Home_working_couple_2_children_2_seniors;CHR15 Multigenerational Home: working couple, 2 children, 2 seniors;6;couple with kids;seniors_and_non_seniors;0.333333333;0.33;0.67;"[""female"", ""female"", ""female"",""male"", ""male"", ""male""]";0.5;0.5
CHR16_Couple_over_65_years;CHR16 Couple over 65 years;2;couple without kids;seniors;;0.00;1.00;"[""female"", ""male""]";0.5;0.5
CHR17_Shiftworker_Couple;CHR17 Shiftworker Couple;2;couple without kids;non_seniors;0;1.00;0.00;"[""female"", ""male""]";0.5;0.5
CHR18_Family_2_children_parents_without_work;CHR18 Family, 2 children, parents without work;4;couple with kids;non_seniors;0;0.00;1.00;"[""female"", ""female"", ""male"", ""male""]";0.5;0.5
CHR19_Couple_30_64_years_both_at_work_with_homehelp;CHR19 Couple, 30 - 64 years, both at work, with homehelp;2;couple without kids;non_seniors;0;1.00;0.00;"[""female"", ""female"", ""male""]";0.666666667;0.333333333
CHR20_one_at_work_one_work_home_3_children;CHR20 one at work, one work home, 3 children;5;couple with kids;non_seniors;0;0.20;0.80;"[""female"", ""male"", ""male"", ""male""]";0.25;0.75
CHR21_Couple_30_64_years_shift_worker;CHR21 Couple, 30 - 64 years, shift worker;2;couple without kids;non_seniors;0;1.00;0.00;"[""female"", ""male""]";0.5;0.5
CHR22_Single_woman_1_child_with_work;CHR22 Single woman, 1 child, with work;2;single woman and kids;non_seniors;0;0.50;0.50;"[""female"", ""female""]";1;0
CHR23_Single_man_over_65_years;CHR23 Single man over 65 years;1;single;seniors;1;0.00;1.00;"[""male""]";0;1
CHR24_Single_woman_over_65_years;CHR24 Single woman over 65 years;1;single;seniors;1;0.00;1.00;"[""female""]";1;0
CHR25_Single_woman_under_30_years_with_work;CHR25 Single woman under 30 years with work;1;single;non_seniors;0;1.00;0.00;"[""female""]";1;0
CHR26_Single_woman_under_30_years_without_work;CHR26 Single woman under 30 years without work;1;single;non_seniors;0;0.00;1.00;"[""female""]";1;0
CHR27_Family_both_at_work_2_children;CHR27 Family both at work, 2 children;4;couple with kids;non_seniors;0;0.50;0.50;"[""female"", ""female"", ""female"", ""male""]";0.75;0.25
CHR28_Single_man_under_30_years_without_work;CHR28 Single man under 30 years without work;1;single;non_seniors;0;0.00;1.00;"[""male""]";0;1
CHR29_Single_man_under_30_years_with_work;CHR29 Single man under 30 years with work;1;single;non_seniors;0;1.00;0.00;"[""male""]";0;1
CHR30_Single_Retired_Man;CHR30 Single, Retired Man;1;single;seniors;1;0.00;1.00;"[""male""]";0;1
CHR31_Single_Retired_Woman;CHR31 Single, Retired Woman;1;single;seniors;1;0.00;1.00;"[""female""]";1;0
CHR32_Couple_under_30_years_without_work;CHR32 Couple under 30 years without work;2;couple without kids;non_seniors;0;0.00;1.00;"[""female"", ""male""]";0.5;0.5
CHR33_Couple_under_30_years_with_work;CHR33 Couple under 30 years with work;2;couple without kids;non_seniors;0;1.00;0.00;"[""female"", ""male""]";0.5;0.5
CHR34_Couple_under_30_years_one_at_work_one_at_home;CHR34 Couple under 30 years, one at work, one at home;2;couple without kids;non_seniors;0;0.50;0.50;"[""female"", ""male""]";0.5;0.5
CHR35_Single_woman_30_64_years_with_work;CHR35 Single woman, 30 - 64 years, with work;1;single;non_seniors;0;1.00;0.00;"[""female""]";1;0
CHR36_Single_woman_30_64_years_without_work;CHR36 Single woman, 30 - 64 years, without work;1;single;non_seniors;0;0.00;1.00;"[""female""]";1;0
CHR37_Single_man_30_64_years_with_work;CHR37 Single man, 30 - 64 years, with work;1;single;non_seniors;0;1.00;0.00;"[""male""]";0;1
CHR38_Single_man_30_64_years_without_work;CHR38 Single man, 30 - 64 years, without work;1;single;non_seniors;0;0.00;1.00;"[""male""]";0;1
CHR39_Couple_30_64_years_with_work;CHR39 Couple, 30 - 64 years, with work;2;couple without kids;non_seniors;0;1.00;0.00;"[""female"", ""male""]";0.5;0.5
CHR40_Couple_30_64_years_without_work;CHR40 Couple, 30 - 64 years, without work;2;couple without kids;non_seniors;0;0.00;1.00;"[""female"", ""male""]";0.5;0.5
CHR41_Family_with_3_children_both_at_work;CHR41 Family with 3 children, both at work;5;couple with kids;non_seniors;0;0.40;0.60;"[""female"", ""female"", ""male"", ""male"", ""male""]";0.4;0.6
CHR42_Single_man_with_2_children_with_work;CHR42 Single man with 2 children, with work;3;single man and kids;non_seniors;0;0.33;0.67;"[""female"", ""male"", ""male""]";0.333333333;0.666666667
CHR43_Single_man_with_1_child_with_work;CHR43 Single man with 1 child, with work;2;single man and kids;non_seniors;0;0.50;0.50;"[""male"", ""male""]";0;1
CHR44_Family_with_2_children_1_at_work_1_at_home;CHR44 Family with 2 children, 1 at work, 1 at home;4;couple with kids;non_seniors;0;0.25;0.75;"[""female"", ""female"", ""male"", ""male""]";0.5;0.5
CHR45_Family_with_1_child_1_at_work_1_at_home;CHR45 Family with 1 child, 1 at work, 1 at home;3;couple with kids;non_seniors;0;0.33;0.67;"[""female"", ""female"", ""male""]";0.666666667;0.333333333
CHR46_Single_woman_1_child_without_work;CHR46 Single woman, 1 child, without work;2;single woman and kids;non_seniors;0;0.00;1.00;"[""female"", ""male""]";0.5;0.5
CHR47_Single_woman_2_children_without_work;CHR47 Single woman, 2 children, without work;3;single woman and kids;non_seniors;0;0.00;1.00;"[""female"", ""female"", ""male""]";0.666666667;0.333333333
CHR48_Family_with_2_children_without_work;CHR48 Family with 2 children, without work;4;couple with kids;non_seniors;0;0.00;1.00;"[""female"", ""female"", ""male"", ""male""]";0.5;0.5
CHR49_Family_with_1_child_without_work;CHR49 Family with 1 child, without work;3;couple with kids;non_seniors;0;0.00;1.00;"[""female"", ""female"", ""male""]";0.666666667;0.333333333
CHR50_Single_woman_with_3_children_without_work;CHR50 Single woman with 3 children, without work;4;couple with kids;non_seniors;0;0.00;1.00;"[""female"", ""female"", ""male"", ""male""]";0.5;0.5
CHR51_Couple_over_65_years_II;CHR51 Couple over 65 years II;2;couple without kids;seniors;1;0.00;1.00;"[""female"", ""male""]";0.5;0.5
CHR52_Student_Flatsharing;CHR52 Student Flatsharing;3;multiple people (no family);non_seniors;0;0.33;0.67;"[""female"", ""female"", ""male""]";0.666666667;0.333333333
CHR53_2_Parents_1_Working_2_Children;CHR53 2 Parents, 1 Working, 2 Children;4;couple with kids;non_seniors;0;0.25;0.75;"[""female"", ""female"", ""male"", ""male""]";0.5;0.5
CHR54_Retired_Couple_no_work;CHR54 Retired Couple, no work;2;couple without kids;seniors;1;0.00;1.00;"[""female"", ""male""]";0.5;0.5
CHR55_Couple_with_work_around_40;CHR55 Couple with work around 40;2;couple without kids;non_seniors;0;1.00;0.00;"[""female"", ""male""]";0.5;0.5
CHR56_Couple_with_2_children_husband_at_work;CHR56 Couple with 2 children, husband at work;4;couple with kids;non_seniors;0;0.25;0.75;"[""female"", ""female"", ""male"", ""male""]";0.5;0.5
CHR57_Family_with_2_Children_Man_at_work;CHR57 Family with 2 Children, Man at work;4;couple with kids;non_seniors;0;0.25;0.75;"[""female"", ""female"", ""male"", ""male""]";0.5;0.5
CHR58_Retired_Couple_no_work_no_cooking;CHR58 Retired Couple, no work, no cooking;2;couple without kids;seniors;1;0.00;1.00;"[""female"", ""male""]";0.5;0.5
CHR59_Family_3_children_parents_without_work;CHR59 Family, 3 children, parents without work;5;couple with kids;non_seniors;0;0.00;1.00;"[""female"", ""female"", ""female"", ""male"", ""male""]";0.6;0.4
CHR60_Family_1_toddler_one_at_work_one_at_home;CHR60 Family, 1 toddler, one at work, one at home;3;couple with kids;non_seniors;0;0.33;0.67;"[""female"", ""female"", ""male""]";0.666666667;0.333333333
CHR61_Family_1_child_both_at_work_early_living_pattern;CHR61 Family, 1 child, both at work, early living pattern;3;couple with kids;non_seniors;0;0.67;0.33;"[""female"", ""male"", ""male""]";0.333333333;0.666666667
CHR62_Couple_both_Working_from_Home;CHR62 Couple both Working from Home;2;couple without kids;non_seniors;0;1.00;0.00;"[""female"", ""male""]";0.5;0.5
CHS01_Couple_with_2_Children_Dad_Employed;CHS01 Couple with 2 Children, Dad Employed;4;couple with kids;non_seniors;0;0.25;0.75;"[""female"", ""female"", ""male"", ""male""]";0.5;0.5
CHS04_Retired_Couple_no_work;CHS04 Retired Couple, no work;2;couple without kids;seniors;1;0.00;1.00;"[""female"", ""male""]";0.5;0.5
CHS12_Shiftworker_Couple;CHS12 Shiftworker Couple;2;couple without kids;non_seniors;0;1.00;0.00;"[""female"", ""male""]";0.5;0.5
